item,origin,destination,amount,units,price_per_pound
Attitude thruster,Reestki,Raiders,3389,Items,314.23
Main drive,Blowback Town,Trade caravan,551,Items,597.85
Main drive,Tuanul,Trade caravan,1846,Items,597.85
Full-spectrum transceiver,Blowback Town,Niima Outpost,3462,Items,4041.01
Dual-drive system,Blowback Town,Raiders,7304,Items,377.12
Acceleration compensator,Reestki,Niima Outpost,3568,Items,843.46
Backup hyperdrive,Tuanul,Raiders,480,Items,2726.24
Repulsorlift generator,Tuanul,Trade caravan,14287,Items,1254.64
Atmospheric processor,Cratertown,Trade caravan,1238,Items,31.58
Repulsorlift generator,Outskirts,Trade caravan,126,Items,1254.64
Hyperdrive,Blowback Town,Niima Outpost,4873,Items,965.87
Enviro filter,Blowback Town,Raiders,814,Items,478.76
Atmospheric thrusters,Blowback Town,Niima Outpost,4056,Items,56.21
Enviro filter,Blowback Town,Raiders,2478,Items,478.76
Black box,Cratertown,Niima Outpost,348,Items,29.15
Full-spectrum transceiver,Outskirts,Raiders,4510,Items,4041.01
Black box,Blowback Town,Trade caravan,4329,Items,29.15
Electrotelescope,Tuanul,Raiders,1009,Items,849.79
Magnetic turbine,Reestki,Trade caravan,364,Items,31.77
Energy-wave detector,Outskirts,Niima Outpost,975,Items,1563.2
Electrotelescope,Outskirts,Raiders,20296,Items,849.79
Inertial compensator,Reestki,Trade caravan,25458,Items,1348.04
Black box,Outskirts,Raiders,20270,Items,29.15
Carbon-Durasteel Armor,Tuanul,Niima Outpost,4147,Items,480.21
Backup hyperdrive,Reestki,Trade caravan,3370,Items,2726.24
Main drive,Tuanul,Trade caravan,856,Items,597.85
Energy-wave detector,Outskirts,Raiders,9094,Items,1563.2
Inertial compensator,Reestki,Trade caravan,5250,Items,1348.04
Dual-drive system,Cratertown,Niima Outpost,1857,Items,377.12
Microthruster,Cratertown,Raiders,3235,Items,506.62
Carbon-Durasteel Armor,Cratertown,Trade caravan,5945,Items,480.21
Hyperdrive,Tuanul,Raiders,4695,Items,965.87
Carbon-Durasteel Armor,Reestki,Trade caravan,11461,Items,480.21
Ion drive,Cratertown,Niima Outpost,652,Items,1168.53
Enviro filter,Blowback Town,Niima Outpost,558,Items,478.76
Main drive,Outskirts,Raiders,9249,Items,597.85
Attitude thruster,Outskirts,Trade caravan,2302,Items,314.23
Enviro filter,Cratertown,Trade caravan,344,Items,478.76
Energy-wave detector,Outskirts,Raiders,4507,Items,1563.2
Hyperdrive,Blowback Town,Trade caravan,6098,Items,965.87
Carbon-Durasteel Armor,Outskirts,Niima Outpost,1455,Items,480.21
Black box,Cratertown,Raiders,1789,Items,29.15
Main drive,Reestki,Trade caravan,7883,Items,597.85
Antishock field,Tuanul,Niima Outpost,1128,Items,1329.05
Electrotelescope,Outskirts,Trade caravan,3684,Items,849.79
Enviro filter,Outskirts,Niima Outpost,7,Items,478.76
Antishock field,Reestki,Raiders,12989,Items,1329.05
Enviro filter,Reestki,Trade caravan,3109,Items,478.76
Hyperdrive,Reestki,Niima Outpost,9528,Items,965.87
Ion drive,Cratertown,Raiders,20639,Items,1168.53
Inertial compensator,Outskirts,Niima Outpost,6384,Items,1348.04
Antishock field,Cratertown,Raiders,5095,Items,1329.05
Carbon-Durasteel Armor,Cratertown,Trade caravan,389,Items,480.21
Enviro filter,Blowback Town,Niima Outpost,3139,Items,478.76
Backup hyperdrive,Blowback Town,Raiders,167,Items,2726.24
Attitude thruster,Blowback Town,Niima Outpost,3307,Items,314.23
Ion drive,Outskirts,Trade caravan,2657,Items,1168.53
Main drive,Blowback Town,Niima Outpost,4759,Items,597.85
Dual-drive system,Tuanul,Niima Outpost,1581,Items,377.12
Microthruster,Cratertown,Raiders,8861,Items,506.62
Enviro filter,Cratertown,Trade caravan,847,Items,478.76
Microthruster,Blowback Town,Trade caravan,8387,Items,506.62
Carbon-Durasteel Armor,Outskirts,Niima Outpost,18982,Items,480.21
Black box,Blowback Town,Raiders,6075,Items,29.15
Carbon-Durasteel Armor,Cratertown,Niima Outpost,9589,Items,480.21
Inertial compensator,Tuanul,Raiders,2053,Items,1348.04
Enviro filter,Tuanul,Raiders,20951,Items,478.76
Main drive,Cratertown,Niima Outpost,5941,Items,597.85
Electrotelescope,Outskirts,Trade caravan,529,Items,849.79
Acceleration compensator,Blowback Town,Niima Outpost,1763,Items,843.46
Acceleration compensator,Cratertown,Niima Outpost,5580,Items,843.46
Atmospheric processor,Reestki,Raiders,307,Items,31.58
Optical transducer panel,Tuanul,Niima Outpost,4836,Items,2596.89
Atmospheric processor,Blowback Town,Raiders,1083,Items,31.58
Magnetic turbine,Outskirts,Trade caravan,7510,Items,31.77
Optical transducer panel,Blowback Town,Niima Outpost,10722,Items,2596.89
Attitude thruster,Cratertown,Raiders,95,Items,314.23
Enviro filter,Cratertown,Trade caravan,2874,Items,478.76
Black box,Outskirts,Niima Outpost,5639,Items,29.15
Antishock field,Tuanul,Raiders,20362,Items,1329.05
Enviro filter,Tuanul,Trade caravan,2461,Items,478.76
Antishock field,Outskirts,Niima Outpost,18218,Items,1329.05
Black box,Cratertown,Raiders,3756,Items,29.15
Antishock field,Tuanul,Trade caravan,3124,Items,1329.05
Main drive,Blowback Town,Niima Outpost,1275,Items,597.85
Dual-drive system,Cratertown,Raiders,1306,Items,377.12
Atmospheric thrusters,Blowback Town,Trade caravan,6284,Items,56.21
Atmospheric processor,Reestki,Niima Outpost,4674,Items,31.58
Optical transducer panel,Tuanul,Trade caravan,5022,Items,2596.89
Atmospheric thrusters,Tuanul,Trade caravan,9065,Items,56.21
Atmospheric thrusters,Tuanul,Niima Outpost,2414,Items,56.21
Acceleration compensator,Outskirts,Niima Outpost,10556,Items,843.46
Hyperdrive,Outskirts,Raiders,6331,Items,965.87
Attitude thruster,Blowback Town,Trade caravan,1088,Items,314.23
Acceleration compensator,Tuanul,Niima Outpost,5375,Items,843.46
Full-spectrum transceiver,Outskirts,Raiders,3487,Items,4041.01
Hyperdrive,Blowback Town,Trade caravan,19969,Items,965.87
Enviro filter,Tuanul,Niima Outpost,15489,Items,478.76
Microthruster,Outskirts,Trade caravan,1091,Items,506.62
Antishock field,Cratertown,Niima Outpost,1747,Items,1329.05
Electrotelescope,Reestki,Raiders,6926,Items,849.79
Electrotelescope,Blowback Town,Trade caravan,10777,Items,849.79
Repulsorlift generator,Blowback Town,Niima Outpost,3291,Items,1254.64
Repulsorlift generator,Cratertown,Raiders,2710,Items,1254.64
Dual-drive system,Outskirts,Trade caravan,1618,Items,377.12
Attitude thruster,Blowback Town,Niima Outpost,2852,Items,314.23
Atmospheric thrusters,Reestki,Trade caravan,4005,Items,56.21
Activation cylinder,Tuanul,Niima Outpost,2222,Items,576.61
Activation cylinder,Outskirts,Trade caravan,6120,Items,576.61
Dual-drive system,Outskirts,Niima Outpost,6467,Items,377.12
Hyperdrive,Outskirts,Raiders,1353,Items,965.87
Magnetic turbine,Tuanul,Niima Outpost,1117,Items,31.77
Magnetic turbine,Tuanul,Raiders,588,Items,31.77
Atomic drive,Reestki,Raiders,10191,Items,316.5
Inertial compensator,Outskirts,Trade caravan,1565,Items,1348.04
Black box,Cratertown,Niima Outpost,224,Items,29.15
Hyperdrive,Cratertown,Raiders,1334,Items,965.87
Energy-wave detector,Reestki,Trade caravan,1176,Items,1563.2
Enviro filter,Outskirts,Raiders,8800,Items,478.76
Attitude thruster,Outskirts,Raiders,14515,Items,314.23
Main drive,Blowback Town,Raiders,2921,Items,597.85
Attitude thruster,Cratertown,Trade caravan,12203,Items,314.23
Backup hyperdrive,Outskirts,Niima Outpost,6395,Items,2726.24
Dual-drive system,Cratertown,Trade caravan,12459,Items,377.12
Electrotelescope,Outskirts,Niima Outpost,3927,Items,849.79
Backup hyperdrive,Tuanul,Trade caravan,11181,Items,2726.24
Acceleration compensator,Outskirts,Niima Outpost,1257,Items,843.46
Enviro filter,Cratertown,Raiders,583,Items,478.76
Hyperdrive,Reestki,Trade caravan,127,Items,965.87
Electrotelescope,Tuanul,Raiders,6013,Items,849.79
Inertial compensator,Reestki,Raiders,11985,Items,1348.04
Black box,Cratertown,Raiders,1556,Items,29.15
Dual-drive system,Tuanul,Trade caravan,4149,Items,377.12
Optical transducer panel,Reestki,Trade caravan,3093,Items,2596.89
Energy-wave detector,Outskirts,Niima Outpost,441,Items,1563.2
Optical transducer panel,Blowback Town,Raiders,19,Items,2596.89
Inertial compensator,Tuanul,Trade caravan,26744,Items,1348.04
Backup hyperdrive,Cratertown,Raiders,2822,Items,2726.24
Atmospheric thrusters,Cratertown,Niima Outpost,3237,Items,56.21
Black box,Blowback Town,Raiders,2874,Items,29.15
Dual-drive system,Outskirts,Niima Outpost,1390,Items,377.12
Microthruster,Cratertown,Raiders,5834,Items,506.62
Atmospheric thrusters,Tuanul,Niima Outpost,8553,Items,56.21
Carbon-Durasteel Armor,Cratertown,Trade caravan,5381,Items,480.21
Atmospheric thrusters,Blowback Town,Niima Outpost,2058,Items,56.21
Atomic drive,Tuanul,Raiders,2215,Items,316.5
Attitude thruster,Reestki,Raiders,3921,Items,314.23
Enviro filter,Tuanul,Raiders,4024,Items,478.76
Full-spectrum transceiver,Reestki,Trade caravan,2130,Items,4041.01
Microthruster,Cratertown,Niima Outpost,1134,Items,506.62
Atmospheric processor,Cratertown,Raiders,7216,Items,31.58
Main drive,Outskirts,Niima Outpost,1276,Items,597.85
Dual-drive system,Blowback Town,Raiders,3460,Items,377.12
Black box,Blowback Town,Niima Outpost,3362,Items,29.15
Hyperdrive,Tuanul,Raiders,5711,Items,965.87
Backup hyperdrive,Tuanul,Niima Outpost,1447,Items,2726.24
Hyperdrive,Reestki,Niima Outpost,3459,Items,965.87
Activation cylinder,Cratertown,Raiders,9072,Items,576.61
Ion drive,Cratertown,Trade caravan,16863,Items,1168.53
Magnetic turbine,Cratertown,Niima Outpost,2019,Items,31.77
Dual-drive system,Tuanul,Trade caravan,1893,Items,377.12
Enviro filter,Reestki,Niima Outpost,5081,Items,478.76
Repulsorlift generator,Tuanul,Trade caravan,409,Items,1254.64
Ion drive,Outskirts,Raiders,2223,Items,1168.53
Atmospheric thrusters,Cratertown,Niima Outpost,4760,Items,56.21
Hyperdrive,Cratertown,Raiders,1176,Items,965.87
Atmospheric thrusters,Reestki,Trade caravan,4907,Items,56.21
Microthruster,Cratertown,Niima Outpost,796,Items,506.62
Optical transducer panel,Reestki,Raiders,1162,Items,2596.89
Attitude thruster,Cratertown,Trade caravan,749,Items,314.23
Electrotelescope,Blowback Town,Niima Outpost,1917,Items,849.79
Main drive,Cratertown,Raiders,12578,Items,597.85
Inertial compensator,Reestki,Trade caravan,774,Items,1348.04
Electrotelescope,Outskirts,Niima Outpost,6714,Items,849.79
Antishock field,Cratertown,Trade caravan,4116,Items,1329.05
Attitude thruster,Cratertown,Raiders,1205,Items,314.23
Atomic drive,Cratertown,Trade caravan,7637,Items,316.5
Full-spectrum transceiver,Blowback Town,Raiders,7091,Items,4041.01
Carbon-Durasteel Armor,Cratertown,Trade caravan,413,Items,480.21
Atmospheric thrusters,Cratertown,Raiders,11935,Items,56.21
Optical transducer panel,Reestki,Raiders,1909,Items,2596.89
Main drive,Tuanul,Trade caravan,924,Items,597.85
Full-spectrum transceiver,Outskirts,Niima Outpost,2278,Items,4041.01
Acceleration compensator,Blowback Town,Trade caravan,1145,Items,843.46
Black box,Outskirts,Niima Outpost,17250,Items,29.15
Microthruster,Outskirts,Raiders,652,Items,506.62
Black box,Cratertown,Trade caravan,873,Items,29.15
Dual-drive system,Reestki,Raiders,1219,Items,377.12
Atomic drive,Reestki,Raiders,1871,Items,316.5
Atomic drive,Blowback Town,Trade caravan,3303,Items,316.5
Main drive,Blowback Town,Niima Outpost,7768,Items,597.85
Atmospheric processor,Tuanul,Raiders,186,Items,31.58
Atmospheric processor,Tuanul,Raiders,1515,Items,31.58
Carbon-Durasteel Armor,Cratertown,Niima Outpost,14900,Items,480.21
Antishock field,Blowback Town,Raiders,16439,Items,1329.05
Electrotelescope,Outskirts,Raiders,2548,Items,849.79
Energy-wave detector,Blowback Town,Trade caravan,218,Items,1563.2
Atmospheric processor,Reestki,Raiders,17889,Items,31.58
Energy-wave detector,Tuanul,Trade caravan,1683,Items,1563.2
Inertial compensator,Reestki,Raiders,3364,Items,1348.04
Electrotelescope,Reestki,Raiders,3379,Items,849.79
Atmospheric processor,Blowback Town,Niima Outpost,7371,Items,31.58
Repulsorlift generator,Reestki,Raiders,2635,Items,1254.64
Enviro filter,Tuanul,Trade caravan,7860,Items,478.76
Optical transducer panel,Outskirts,Niima Outpost,452,Items,2596.89
Antishock field,Tuanul,Raiders,6066,Items,1329.05
Dual-drive system,Tuanul,Niima Outpost,4519,Items,377.12
Energy-wave detector,Blowback Town,Raiders,15967,Items,1563.2
Dual-drive system,Blowback Town,Trade caravan,765,Items,377.12
Activation cylinder,Outskirts,Niima Outpost,1619,Items,576.61
Main drive,Reestki,Trade caravan,1479,Items,597.85
Activation cylinder,Outskirts,Raiders,4898,Items,576.61
Dual-drive system,Reestki,Niima Outpost,3956,Items,377.12
Full-spectrum transceiver,Cratertown,Niima Outpost,6777,Items,4041.01
Activation cylinder,Outskirts,Trade caravan,4039,Items,576.61
Electrotelescope,Blowback Town,Raiders,12464,Items,849.79
Inertial compensator,Outskirts,Niima Outpost,6498,Items,1348.04
Atmospheric thrusters,Reestki,Niima Outpost,144,Items,56.21
Optical transducer panel,Outskirts,Niima Outpost,7858,Items,2596.89
Atmospheric processor,Cratertown,Trade caravan,1086,Items,31.58
Repulsorlift generator,Reestki,Niima Outpost,663,Items,1254.64
Energy-wave detector,Blowback Town,Trade caravan,29244,Items,1563.2
Black box,Tuanul,Raiders,773,Items,29.15
Inertial compensator,Cratertown,Raiders,742,Items,1348.04
Main drive,Cratertown,Niima Outpost,900,Items,597.85
Inertial compensator,Cratertown,Raiders,7290,Items,1348.04
Acceleration compensator,Blowback Town,Niima Outpost,2581,Items,843.46
Antishock field,Cratertown,Raiders,4071,Items,1329.05
Optical transducer panel,Blowback Town,Niima Outpost,2826,Items,2596.89
Backup hyperdrive,Reestki,Raiders,9922,Items,2726.24
Magnetic turbine,Reestki,Trade caravan,16803,Items,31.77
Magnetic turbine,Cratertown,Niima Outpost,3801,Items,31.77
Enviro filter,Reestki,Raiders,564,Items,478.76
Ion drive,Cratertown,Niima Outpost,1627,Items,1168.53
Ion drive,Outskirts,Trade caravan,2646,Items,1168.53
Microthruster,Reestki,Raiders,22374,Items,506.62
Acceleration compensator,Outskirts,Niima Outpost,3859,Items,843.46
Ion drive,Cratertown,Raiders,3253,Items,1168.53
Hyperdrive,Blowback Town,Trade caravan,443,Items,965.87
Repulsorlift generator,Reestki,Trade caravan,1658,Items,1254.64
Energy-wave detector,Tuanul,Niima Outpost,2676,Items,1563.2
Attitude thruster,Cratertown,Trade caravan,6356,Items,314.23
Main drive,Reestki,Raiders,1968,Items,597.85
Inertial compensator,Reestki,Raiders,6408,Items,1348.04
Antishock field,Tuanul,Trade caravan,533,Items,1329.05
Atomic drive,Blowback Town,Raiders,12958,Items,316.5
Atmospheric processor,Reestki,Trade caravan,18405,Items,31.58
Activation cylinder,Blowback Town,Raiders,5826,Items,576.61
Black box,Cratertown,Raiders,10076,Items,29.15
Attitude thruster,Blowback Town,Trade caravan,4228,Items,314.23
Energy-wave detector,Blowback Town,Trade caravan,3409,Items,1563.2
Atmospheric thrusters,Blowback Town,Raiders,7017,Items,56.21
Acceleration compensator,Tuanul,Trade caravan,1509,Items,843.46
Optical transducer panel,Tuanul,Raiders,621,Items,2596.89
Activation cylinder,Cratertown,Niima Outpost,154,Items,576.61
Energy-wave detector,Outskirts,Raiders,16847,Items,1563.2
Activation cylinder,Tuanul,Trade caravan,8034,Items,576.61
Energy-wave detector,Outskirts,Niima Outpost,13339,Items,1563.2
Repulsorlift generator,Outskirts,Trade caravan,6215,Items,1254.64
Electrotelescope,Outskirts,Niima Outpost,1342,Items,849.79
Dual-drive system,Cratertown,Raiders,2071,Items,377.12
Optical transducer panel,Blowback Town,Trade caravan,4986,Items,2596.89
Repulsorlift generator,Cratertown,Niima Outpost,558,Items,1254.64
Atmospheric thrusters,Tuanul,Niima Outpost,4272,Items,56.21
Black box,Blowback Town,Raiders,6512,Items,29.15
Optical transducer panel,Cratertown,Niima Outpost,912,Items,2596.89
Energy-wave detector,Reestki,Niima Outpost,4973,Items,1563.2
Atmospheric processor,Outskirts,Raiders,3424,Items,31.58
Atmospheric processor,Reestki,Raiders,30,Items,31.58
Dual-drive system,Cratertown,Trade caravan,3563,Items,377.12
Optical transducer panel,Outskirts,Raiders,2464,Items,2596.89
Flight recorder,Outskirts,Niima Outpost,887,Tons,590.93
Proximity sensor,Outskirts,Raiders,7081,Tons,1229.03
Vitus-Series Attitude Thrusters,Reestki,Raiders,4901,Tons,225.54
Aural sensor,Tuanul,Raiders,707,Tons,145.27
Electromagnetic discharge filter,Tuanul,Niima Outpost,107,Tons,188.28
Proximity sensor,Tuanul,Trade caravan,32109,Tons,1229.03
Hyperdrive motivator,Tuanul,Trade caravan,862,Tons,1485.28
Landing jet,Reestki,Niima Outpost,13944,Tons,1496.74
Electromagnetic discharge filter,Cratertown,Raiders,7788,Tons,188.28
Sublight engine,Outskirts,Niima Outpost,10642,Tons,7211.01
Sublight drive,Cratertown,Niima Outpost,20652,Tons,420.36
Landing jet,Blowback Town,Raiders,2252,Tons,1496.74
Flight recorder,Blowback Town,Trade caravan,5428,Tons,590.93
Sublight engine,Outskirts,Raiders,2377,Tons,7211.01
Sublight engine,Cratertown,Raiders,6310,Tons,7211.01
Sublight engine,Tuanul,Trade caravan,3984,Tons,7211.01
Ion engine,Blowback Town,Niima Outpost,2356,Tons,1605.85
Electromagnetic discharge filter,Reestki,Niima Outpost,150,Tons,188.28
Vitus-Series Attitude Thrusters,Cratertown,Raiders,1051,Tons,225.54
Maneuvering jet,Tuanul,Trade caravan,690,Tons,2167.84
Lateral thruster,Outskirts,Niima Outpost,20739,Tons,1570.65
Navigation computer,Cratertown,Niima Outpost,11270,Tons,259.56
Hyperdrive motivator,Reestki,Raiders,7392,Tons,1485.28
Proximity sensor,Blowback Town,Raiders,10083,Tons,1229.03
Vitus-Series Attitude Thrusters,Cratertown,Trade caravan,5785,Tons,225.54
Flight recorder,Cratertown,Trade caravan,2791,Tons,590.93
Navigation computer,Blowback Town,Raiders,3508,Tons,259.56
Ion engine,Tuanul,Trade caravan,3439,Tons,1605.85
Hyperdrive motivator,Outskirts,Niima Outpost,1546,Tons,1485.28
Navigation computer,Tuanul,Niima Outpost,7187,Tons,259.56
Flight recorder,Tuanul,Trade caravan,12768,Tons,590.93
Lateral thruster,Cratertown,Raiders,7482,Tons,1570.65
Retrorocket,Cratertown,Niima Outpost,4275,Tons,588.68
Navigation computer,Blowback Town,Raiders,8308,Tons,259.56
Lateral thruster,Blowback Town,Niima Outpost,7883,Tons,1570.65
Retrorocket,Reestki,Niima Outpost,9288,Tons,588.68
Ion engine,Tuanul,Raiders,6577,Tons,1605.85
Landing jet,Outskirts,Niima Outpost,65,Tons,1496.74
Sublight drive,Reestki,Raiders,211,Tons,420.36
Dedicated energy receptor,Cratertown,Niima Outpost,5763,Tons,281.01
Electromagnetic discharge filter,Cratertown,Raiders,3650,Tons,188.28
Vitus-Series Attitude Thrusters,Tuanul,Trade caravan,7145,Tons,225.54
Lateral thruster,Tuanul,Niima Outpost,4312,Tons,1570.65
Sublight engine,Cratertown,Raiders,299,Tons,7211.01
Ion engine,Blowback Town,Niima Outpost,895,Tons,1605.85
Turbo injector,Tuanul,Trade caravan,2728,Tons,845.72
Landing jet,Reestki,Niima Outpost,5192,Tons,1496.74
Hyperdrive motivator,Reestki,Raiders,1441,Tons,1485.28
Retrorocket,Blowback Town,Niima Outpost,6672,Tons,588.68
Dedicated energy receptor,Reestki,Trade caravan,2980,Tons,281.01
Aural sensor,Outskirts,Niima Outpost,3005,Tons,145.27
Aural sensor,Tuanul,Raiders,6204,Tons,145.27
Maneuvering jet,Reestki,Raiders,15578,Tons,2167.84
Sublight drive,Reestki,Trade caravan,988,Tons,420.36
Dedicated energy receptor,Cratertown,Niima Outpost,2358,Tons,281.01
Turbo injector,Outskirts,Raiders,2136,Tons,845.72
Navigation computer,Cratertown,Trade caravan,12390,Tons,259.56
Maneuvering jet,Tuanul,Niima Outpost,9444,Tons,2167.84
Maneuvering jet,Reestki,Trade caravan,477,Tons,2167.84
Sublight drive,Tuanul,Niima Outpost,5070,Tons,420.36
Lateral thruster,Tuanul,Raiders,10643,Tons,1570.65
Flight recorder,Reestki,Trade caravan,2330,Tons,590.93
Reactant agitator injector,Reestki,Raiders,20834,Tons,790.68
Aural sensor,Tuanul,Raiders,3120,Tons,145.27
Lateral thruster,Reestki,Trade caravan,696,Tons,1570.65
Turbo injector,Blowback Town,Niima Outpost,4943,Tons,845.72
Turbo injector,Reestki,Raiders,6392,Tons,845.72
Landing jet,Tuanul,Trade caravan,6913,Tons,1496.74
Proximity sensor,Reestki,Trade caravan,22294,Tons,1229.03
Aural sensor,Blowback Town,Niima Outpost,2312,Tons,145.27
Retrorocket,Cratertown,Niima Outpost,9339,Tons,588.68
Sublight drive,Blowback Town,Raiders,1424,Tons,420.36
Retrorocket,Blowback Town,Trade caravan,3466,Tons,588.68
Sublight engine,Blowback Town,Raiders,8582,Tons,7211.01
Hyperdrive motivator,Blowback Town,Trade caravan,16489,Tons,1485.28
Ion engine,Reestki,Niima Outpost,2735,Tons,1605.85
Electromagnetic discharge filter,Tuanul,Raiders,5088,Tons,188.28
Hyperdrive motivator,Blowback Town,Raiders,4012,Tons,1485.28
Retrorocket,Tuanul,Trade caravan,17320,Tons,588.68
Aural sensor,Outskirts,Trade caravan,6272,Tons,145.27
Navigation computer,Reestki,Raiders,1826,Tons,259.56
Turbo injector,Tuanul,Trade caravan,4158,Tons,845.72
Retrorocket,Tuanul,Raiders,2055,Tons,588.68
Reactant agitator injector,Cratertown,Niima Outpost,11452,Tons,790.68
Vitus-Series Attitude Thrusters,Cratertown,Raiders,914,Tons,225.54
Reactant agitator injector,Blowback Town,Raiders,4343,Tons,790.68
Proximity sensor,Cratertown,Trade caravan,1392,Tons,1229.03
